ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark
,West Showa,DireInchini,Buyama Roge,Yeyii forest,14.75ha,349979,963615,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349969,963673,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349908,963710,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349891,963760,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349844,963834,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349819,963906,
1,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349810,963951,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349824,963992,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349796,964094,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349745,964148,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349700,964146,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349686,964127,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349661,964138,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349559,964155,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349524,964116,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349552,964051,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349555,963987,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349604,963940,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349622,963890,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349668,963844,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349714,963792,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349710,963716,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349723,963657,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349747,963641,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349773,963627,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349754,963567,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349700,963527,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349759,963481,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349762,963456,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349800,963460,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349846,963410,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349896,963429,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349889,963453,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349927,963539,
,West Showa,DireInchini,Buyama Roge,Yeyii forest,,349976,963563,
,,,,,,,,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,42.25ha,349340,964514,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349431,964580,
2,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349324,964658,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349284,964741,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349241,964885,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349105,965077,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349173,965185,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349187,965297,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349129,965525,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348824,965447,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348855,965286,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348758,965163,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348722,965018,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348710,964872,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348735,964719,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348721,964585,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348801,964588,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348904,964745,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,348993,964570,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349163,964418,
,West Showa,DireInchini,Buyama Roge,Labu Ballo,,349276,964525,
,,,,,,,,
,West Showa,DireInchini,Buyama Roge,Waguta,44.55ha,354585,964805,
,West Showa,DireInchini,Buyama Roge,Waguta,,354789,964809,
,West Showa,DireInchini,Buyama Roge,Waguta,,354788,964937,
,West Showa,DireInchini,Buyama Roge,Waguta,,354846,965047,
3,West Showa,DireInchini,Buyama Roge,Waguta,,355008,965228,
,West Showa,DireInchini,Buyama Roge,Waguta,,354996,965405,
,West Showa,DireInchini,Buyama Roge,Waguta,,354828,965413,
,West Showa,DireInchini,Buyama Roge,Waguta,,354735,965451,
,West Showa,DireInchini,Buyama Roge,Waguta,,354719,965509,
,West Showa,DireInchini,Buyama Roge,Waguta,,354781,965567,
,West Showa,DireInchini,Buyama Roge,Waguta,,354443,965650,
,West Showa,DireInchini,Buyama Roge,Waguta,,354754,965629,
,West Showa,DireInchini,Buyama Roge,Waguta,,354604,965544,
,West Showa,DireInchini,Buyama Roge,Waguta,,354550,965605,
,West Showa,DireInchini,Buyama Roge,Waguta,,354331,965594,
,West Showa,DireInchini,Buyama Roge,Waguta,,354297,965515,
,West Showa,DireInchini,Buyama Roge,Waguta,,354290,965425,
,West Showa,DireInchini,Buyama Roge,Waguta,,354237,965393,
,West Showa,DireInchini,Buyama Roge,Waguta,,354213,965330,
,West Showa,DireInchini,Buyama Roge,Waguta,,354210,965235,
,West Showa,DireInchini,Buyama Roge,Waguta,,354107,965174,
,West Showa,DireInchini,Buyama Roge,Waguta,,354107,965110,
,West Showa,DireInchini,Buyama Roge,Waguta,,354223,965124,
,West Showa,DireInchini,Buyama Roge,Waguta,,354282,965085,
,West Showa,DireInchini,Buyama Roge,Waguta,,354342,965104,
,West Showa,DireInchini,Buyama Roge,Waguta,,354404,965037,
,West Showa,DireInchini,Buyama Roge,Waguta,,354304,964987,
,West Showa,DireInchini,Buyama Roge,Waguta,,354409,964937,
,West Showa,DireInchini,Buyama Roge,Waguta,,354457,964939,
,,,,,,,,
,West Showa,DireInchini,Buyama Roge,Atete,13.29ha,348378,964353,
,West Showa,DireInchini,Buyama Roge,Atete,,348409,964380,
,West Showa,DireInchini,Buyama Roge,Atete,,348546,964254,
,West Showa,DireInchini,Buyama Roge,Atete,,348569,964254,
,West Showa,DireInchini,Buyama Roge,Atete,,348673,964358,
4,West Showa,DireInchini,Buyama Roge,Atete,,348577,964478,
,West Showa,DireInchini,Buyama Roge,Atete,,348478,964530,
,West Showa,DireInchini,Buyama Roge,Atete,,348502,964616,
,West Showa,DireInchini,Buyama Roge,Atete,,348481,964692,
,West Showa,DireInchini,Buyama Roge,Atete,,348436,964754,
,West Showa,DireInchini,Buyama Roge,Atete,,348447,964837,
,West Showa,DireInchini,Buyama Roge,Atete,,348414,964925,
,West Showa,DireInchini,Buyama Roge,Atete,,348401,965038,
,West Showa,DireInchini,Buyama Roge,Atete,,348344,965037,
,West Showa,DireInchini,Buyama Roge,Atete,,348320,964960,
,West Showa,DireInchini,Buyama Roge,Atete,,348340,964816,
,West Showa,DireInchini,Buyama Roge,Atete,,348301,964791,
,West Showa,DireInchini,Buyama Roge,Atete,,348283,964558,
,West Showa,DireInchini,Buyama Roge,Atete,,348295,964452,
,West Showa,DireInchini,Buyama Roge,Atete,,348352,964421,
,West Showa,DireInchini,Buyama Roge,Atete,,348334,964357,
,,,,,,,,
,West Showa,DireInchini,Arfingo Dage,Adula forest,74.14 ha,354391,965674,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354533,965638,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354567,965801,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354649,965834,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354599,965908,
5,West Showa,DireInchini,Arfingo Dage,Adula forest,,354590,965975,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354644,965985,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354774,965936,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354860,965921,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354899,965965,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354977,965876,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355014,965891,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354966,966048,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354990,966139,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355203,966021,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355198,965955,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355437,965933,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355429,965985,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355289,966004,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355214,966110,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355069,966208,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355044,966304,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,355117,966419,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354852,966651,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354872,966690,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354698,966832,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354688,966757,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354512,966835,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354471,966808,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354408,966824,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354232,966928,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354215,966885,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354264,966828,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354162,966803,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354154,966769,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354199,966736,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354195,966705,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354408,966827,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354332,966917,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354138,966692,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354140,966638,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354211,966615,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354275,966434,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354246,966404,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354315,966363,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354283,966255,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354364,966083,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354251,965986,
,West Showa,DireInchini,Arfingo Dage,Adula forest,,354344,965838,
,,,,,,,,
,West Showa,DireInchini,Arfingo Dage,Digo forest,9.54ha,353943,970170,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353993,970143,
6,West Showa,DireInchini,Arfingo Dage,Digo forest,,354035,970187,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354018,970215,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354127,970247,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354139,970227,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354165,970177,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354133,970086,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354154,970080,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354193,970144,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354213,970255,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354157,970324,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354153,970385,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354167,970446,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354231,970487,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354203,970516,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354163,970508,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354189,970572,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354145,970612,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354140,970607,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354150,970574,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354141,970573,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354102,970615,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354073,970579,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354085,970545,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354051,970479,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354053,970448,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353921,970487,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353875,970401,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353939,970314,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353933,970251,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353812,970228,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353847,970187,
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353940,970197,
,,,,,,,,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,201.67 ha,350640,967147,
7,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350606,967270,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350594,967390,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350516,967526,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350509,967618,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350372,967719,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350306,967702,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350193,967643,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350077,967611,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350019,967636,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350001,967686,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350033,967787,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350054,967850,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350097,967903,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350126,967985,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350043,968041,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349998,968054,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350011,968130,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349933,968134,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349893,968149,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349853,968183,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349747,968154,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349719,968165,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349688,968173,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349667,968192,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349647,968196,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349579,968264,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349504,968311,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349505,968407,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349584,968470,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349575,968528,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349575,968560,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349660,968671,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349752,968738,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349777,968753,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349893,968827,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350063,968952,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340070,968902,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340069,968915,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340054,968940,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340067,968958,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340066,968946,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,340017,968933,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349998,968944,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349946,968944,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349941,968972,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349865,969037,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349792,968972,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349834,968920,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349769,968855,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349775,968816,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349724,968779,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349741,968779,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349722,968832,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349659,968826,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349576,968788,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349560,968789,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349532,968795,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349507,968835,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349527,968928,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349417,968878,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349347,968926,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349292,968939,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349195,968994,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349123,969037,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349083,969088,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,349064,969109,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348977,969110,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348899,969134,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348870,969134,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348809,969153,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348835,969230,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348769,969228,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348718,969250,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348683,969224,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348668,969177,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348641,969153,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348622,969131,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348591,969166,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348191,969165,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348474,969051,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348443,969050,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348418,968972,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348317,968974,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348283,968837,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348238,968877,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348175,968874,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348066,968853,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,348022,968822,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347967,968832,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347962,968868,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347875,968920,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347847,968917,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347797,968869,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347777,968856,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347740,968879,
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,347703,968930,
